Number,Tor,Grid,latitude,longitude,Completed
1,North Hessary,SX 579 742,50.550248115168905,-4.007756623041784,1
2,Hollow,SX 571 745,50.55274917701869,-4.019167157193024,1
3,Rundlestone,SX 577 746,50.55379438852384,-4.010733548959055,1
4,Little Mis,SX 564 763,50.56875460766895,-4.0297467202442565,1
5,Great Mis,SX 563 769,50.57412235005032,-4.031391386744636,1
6,Roos,SX 543 766,50.57093043119882,-4.059526159626288,1
7,Great Staple,SX 542 760,50.56551321294413,-4.060703145847936,1
8,Middle Staple,SX 540 756,50.56186840653299,-4.0633706952686515,1
9,Little Staple,SX 538 754,50.560020955971225,-4.066116539849696,1
10,Heckwood,SX 537 738,50.545616595468545,-4.06689900176954,1
11,Pew,SX 532 734,50.54189636994609,-4.0738000491227275,1
12,Feather,SX 535 741,50.54826260497107,-4.0698407813445145,1
13,Cox,SX 531 762,50.56703490414466,-4.076318434899186,1
14,Boulters,SX 525 780,50.58306012353534,-4.085508229711791,1
15,White,SX 542 786,50.58887959424169,-4.06172441173702,1
16,Lynch,SX 565 807,50.60832301468814,-4.0300363491266005,0
17,Nat,SX 545 824,50.623105249484624,-4.058977151527003,1
18,Ger,SX 547 831,50.629446070070124,-4.056423715635241,1
19,Hare,SX 550 842,50.63940655037408,-4.052611927993024,1
20,Sharp,SX 550 848,50.644798760431215,-4.052847175228378,1
21,Chat,SX 555 853,50.649416586725394,-4.04596881679785,1
22,Doe,SX 542 848,50.644598985344025,-4.0641652120512255,1
23,Brat,SX 539 855,50.65081463019118,-4.06868610120522,1
24,Arms,SX 542 862,50.65718069727874,-4.064717430439887,0
25,Little Links,SX 547 870,50.66449530807983,-4.0579564147150675,0
26,Great Links,SX 551 867,50.66189896374096,-4.052177331593245,0
27,Green,SX 562 864,50.65947571683911,-4.036492592363257,1
28,Kitty,SX 567 875,50.66948487629678,-4.029843412228597,1
29,Hunt,SX 557 875,50.66923768674431,-4.043998280182861,1
30,Gren,SX 551 879,50.672683339083356,-4.052648174619969,1
31,Sourton,SX 544 898,50.68958365139883,-4.0633070208137,1
32,Shelstone,SX 557 898,50.689907798421636,-4.04489761526822,1
33,Black,SX 566 895,50.68743439105252,-4.032035996588253,1
34,Lints,SX 580 875,50.66980365893795,-4.01144206507639,1
35,Dinger,SX 586 881,50.67534215898281,-4.00317892635118,1
36,Yes,SX 581 901,50.69319475574526,-4.011026395943069,0
37,West Mill,SX 587 909,50.700530694229535,-4.002835837526441,0
38,East Mil,SX 599 899,50.691833952404316,-3.985458916457954,0
39,Winter,SX 609 915,50.70645392246719,-3.9719012255793382,0
40,Scarey,SX 607 925,50.71539334059121,-3.975112501071784,0
41,Ivy,SX 628 936,50.72577947366117,-3.9457685732542283,0
42,Belstone,SX 614 921,50.71196586184181,-3.9650440547777372,0
43,Higher,SX 613 917,50.70834703666975,-3.966310203586932,0
44,Oke,SX 612 901,50.693943320274315,-3.967124345842671,0
45,Steeperton,SX 618 887,50.681503848534426,-3.9581026630303584,0
46,Wild,SX 623 876,50.67173619806918,-3.950613214902015,0
47,Watern,SX 629 868,50.66468786490018,-3.9418230887506893,0
48,Hound,SX 628 890,50.684436931162026,-3.9440560197497647,0
49,LittleHound,SX 633 899,50.69264352655745,-3.93731004224671,0
50,Shilstone,SX 658 901,50.695023692624446,-3.901979153115296,0
51,Rival,SX 643 882,50.67759884332998,-3.922523315443962,0
52,Scorhill,SX 658 871,50.66806036808817,-3.9008881793845513,0
53,Middle,SX 669 858,50.65662883880675,-3.8848505104240307,0
54,Thornworthy,SX 664 851,50.650222759628306,-3.8916726929735503,0
55,Birch,SX 687 814 ,50.61749026343281,-3.857818218954985,1
56,Hookney,SX 698 813,50.616838253000665,-3.8422306683558296,1
57,Shapley,SX 699 821,50.62405113031974,-3.841097893502453,1
58,King,SX 709 816,50.619779457014296,-3.8267831251601265,1
59,Hameldown,SX 703 806,50.61065799586177,-3.834916454409704,1
60,Wind,SX 707 758,50.56760306735908,-3.8275889251012445,0
61,Leigh,SX 711 714,50.52814260500829,-3.8204143010641602,1
62,Hockingston,SX 695 719,50.53228177346417,-3.843168234497286,0
63,Aish,SX 702 715,50.52884229912235,-3.8331496555427047,1
64,Mel,SX 693 726,50.53852888587556,-3.8462366974305846,1
65,Luckey,SX 685 720,50.532956475909195,-3.857316542606703,1
66,Sharp,SX 686 729,50.54106837499848,-3.8562230575955914,1
67,Corndon,SX 687 742,50.55277554328656,-3.8552705006286114,1
68,Yar,SX 678 740,50.55077490405755,-3.867906610364345,1
69,Huccaby,SX 657 739,50.54939706504757,-3.8975195262685425,1
70,Laughter,SX 653 757,50.565483290743124,-3.9038192586255516,1
71,Bellever,SX 645 764,50.571589686548165,-3.915373152603229,1
72,Arch,SX 633 782,50.58748788024936,-3.9329860977738536,0
73,Hartland,SX 642 800,50.603876128429235,-3.9209284070339208,0
74,Stannon,SX 646 812,50.614754532765254,-3.9157130161126386,0
75,Sittaford,SX 633 830,50.63062892169441,-3.9347568999063594,0
76,Lower White,SX 619 792,50.596145800132334,-3.9531402044501007,0
77,Higher White,SX 620 785,50.58987811714458,-3.9514664887108424,1
78,Longaford,SX 616 779,50.584390777749356,-3.956894917385751,1
79,Littaford,SX 616 769,50.5754031371883,-3.9565220253567435,1
80,Crockern,SX 616 758,50.565516714142696,-3.9561120637012555,1
81,Beardown,SX 603 773,50.57868844477817,-3.975036774297424,1
82,Crow,SX 607 787,50.59136664847584,-3.969911419928559,1
83,Rough,SX 606 798,50.60122904850259,-3.9717380689250064,0
84,Flat,SX 609 816,50.61747825178666,-3.9681735649591325,0
85,Fur,SX 588 830,50.62955553533084,-3.998399340167185,0
86,Devil's,SX 596 796,50.59919164483246,-3.9857964450033854,0
87,Conies Down,SX 589 791,50.59452899636504,-3.995499674746325,0
88,Lydford,SX 599 782,50.58668131113354,-3.981027511144241,0
89,South Hessary,SX 597 723,50.53360681833721,-3.9816256720654715,1
90,Fox,SX 626 698,50.51182617174465,-3.939772693188229,0
91,Combestone,SX 670 718,50.53081945774967,-3.878414915618402,1
92,Bench,SX 691 717,50.53039467423105,-3.8487430868212025,1
93,Shipley,SX 685 632,50.45385941799365,-3.854214093545164,1
94,Black,SX 679 635,50.456420997160144,-3.8627739076951917,1
95,Sharp,SX 649 617,50.43955852845256,-3.904394939199894,1
96,Rook,SX 602 617,50.438456988353344,-3.9705971911944338,1
97,Collard,SX 557 620,50.44006334038237,-4.034097782668863,1
98,Hawk's,SX 553 625,50.444458485695705,-4.0399257302563,1
99,Little Trowlesworthy,SX 577 646,50.4639197097076,-4.0069148382336115,1
100,Great Trowlesworthy,SX 580 643,50.46129621421192,-4.002572834259904,1
101,Hen,SX 593 653,50.470597446663156,-3.9846292606387546,1
102,Shavercombe,SX 594 662,50.47871034953699,-3.983558659256956,1
103,Calverslake,SX 608 676,50.49162762735602,-3.9643442985137582,1
104,Lower Hartor,SX 603 675,50.4906097481735,-3.971357518981433,1
105,Higher Hartor,SX 599 677,50.49231169075995,-3.977073064236529,1
106,Eastern,SX 584 666,50.482064455434305,-3.9978079820606354,1
107,Legis,SX 571 656,50.4727611905948,-4.015753403677395,0
108,Gutter,SX 578 668,50.48371656973272,-4.006343370177698,1
109,Sheeps,SX 566 682,50.49600631392704,-4.0238005322179475,1
110,Down,SX 580 694,50.507132643634336,-4.0045135520430355,1
111,Combeshead,SX 587 688,50.501909586208505,-3.994411799181501,1
112,Cramber,SX 584 712,50.523407107456485,-3.9995553293078925,1
113,Hart,SX 581 720,50.53052435620498,-4.004093568126545,1
114,Black,SX 573 717,50.52763340366323,-4.015269038977303,1
115,Leeden,SX 563 718,50.528287208211275,-4.02941993393618,1
116,Leather,SX 563 700,50.512109999301714,-4.028725349576268,1
117,Ingra,SX 555 721,50.53078620870725,-4.0408264421000055,1
118,Hucken,SX 549 738,50.545915827236364,-4.049957523342049,1
119,King's,SX 556 739,50.54698796731134,-4.040113819928073,1
