Number,Tor,Grid
1,North Hessary,SX 579 742
2,Hollow,SX 571 745
3,Rundlestone,SX 577 746
4,Little Mis,SX 564 763
5,Great Mis,SX 563 769
6,Roos,SX 543 766
7,Great Staple,SX 542 760
8,Middle Staple,SX 540 756
9,Little Staple,SX 538 754
10,Heckwood,SX 537 738
11,Pew,SX 532 734
12,Feather,SX 535 741
13,Cox,SX 531 762
14,Boulters,SX 525 780
15,White,SX 542 786
16,Lynch,SX 565 807
17,Nat,SX 545 824
18,Ger,SX 547 831
19,Hare,SX 550 842
20,Sharp,SX 550 848
21,Chat,SX 555 853
22,Doe,SX 542 848
23,Brat,SX 539 855
24,Arms,SX 542 862
25,Little Links,SX 547 870
26,Great Links,SX 551 867
27,Green,SX 562 864
28,Kitty,SX 567 875
29,Hunt,SX 557 875
30,Gren,SX 551 879
31,Sourton,SX 544 898
32,Shelstone,SX 557 898
33,Black,SX 566 895
34,Lints,SX 580 875
35,Dinger,SX 586 881
36,Yes,SX 581 901
37,West Mill,SX 587 909
38,East Mil,SX 599 899
39,Winter,SX 609 915
40,Scarey,SX 607 925
41,Ivy,SX 628 936
42,Belstone,SX 614 921
43,Higher,SX 613 917
44,Oke,SX 612 901
45,Steeperton,SX 618 887
46,Wild,SX 623 876
47,Watern,SX 629 868
48,Hound,SX 628 890
49,LittleHound,SX 633 899
50,Shilstone,SX 658 901
51,Rival,SX 643 882
52,Scorhill,SX 658 871
53,Middle,SX 669 858
54,Thornworthy,SX 664 851
55,Birch,SX 687 814 
56,Hookney,SX 698 813
57,Shapley,SX 699 821
58,King,SX 709 816
59,Hameldown,SX 703 806
60,Wind,SX 707 758
61,Leigh,SX 711 714
62,Hockingston,SX 695 719
63,Aish,SX 702 715
64,Mel,SX 693 726
65,Luckey,SX 685 720
66,Sharp,SX 686 729
67,Corndon,SX 687 742
68,Yar,SX 678 740
69,Huccaby,SX 657 739
70,Laughter,SX 653 757
71,Bellever,SX 645 764
72,Arch,SX 633 782
73,Hartland,SX 642 800
74,Stannon,SX 646 812
75,Sittaford,SX 633 830
76,Lower White,SX 619 792
77,Higher White,SX 620 785
78,Longaford,SX 616 779
79,Littaford,SX 616 769
80,Crockern,SX 616 758
81,Beardown,SX 603 773
82,Crow,SX 607 787
83,Rough,SX 606 798
84,Flat,SX 609 816
85,Fur,SX 588 830
86,Devil's,SX 596 796
87,Conies Down,SX 589 791
88,Lydford,SX 599 782
89,South Hessary,SX 597 723
90,Fox,SX 626 698
91,Combestone,SX 670 718
92,Bench,SX 691 717
93,Shipley,SX 685 632
94,Black,SX 679 635
95,Sharp,SX 649 617
96,Rook,SX 602 617
97,Collard,SX 557 620
98,Hawk's,SX 553 625
99,Little Trowlesworthy,SX 577 646
100,Great Trowlesworthy,SX 580 643
101,Hen,SX 593 653
102,Shavercombe,SX 594 662
103,Calverslake,SX 608 676
104,Lower Hartor,SX 603 675
105,Higher Hartor,SX 599 677
106,Eastern,SX 584 666
107,Legis,SX 571 656
108,Gutter,SX 578 668
109,Sheeps,SX 566 682
110,Down,SX 580 694
111,Combeshead,SX 587 688
112,Cramber,SX 584 712
113,Hart,SX 581 720
114,Black,SX 573 717
115,Leeden,SX 563 718
116,Leather,SX 563 700
117,Ingra,SX 555 721
118,Hucken,SX 549 738
119,King's,SX 556 739
